name,nm
Cu II,247.333345
Cu II,248.579176
Cu II,248.965236
Cu I,249.21428
Cu II,250.627258
Cu II,252.659232
Cu II,252.930385
Cu II,254.480482
Cu II,257.175556
Cu II,259.052826
Cu II,259.881194
Cu II,260.026973
Cu I,261.83685
Cu II,262.066627
Cu II,266.629047
Cu II,268.929932
Cu II,270.096252
Cu II,270.318448
Cu II,271.350740
Cu II,271.877770
Cu II,272.167628
Cu II,273.734194
Cu II,273.976664
Cu II,274.527056
Cu I,276.63913
Cu II,276.966882
Cu I,282.4368
Cu II,283.736814
Cu II,287.769898
Cu II,288.419598
Cu I,296.1164
Cu I,306.3410
Cu I,319.4096
Cu I,324.75358
Cu I,327.39521
Cu II,329.041683
Cu II,330.08808
Cu II,330.122844
Cu II,331.62752
Cu II,333.86475
Cu II,336.56470
Cu II,337.045289
Cu II,337.49510
Cu II,338.07116
Cu II,388.41313
Cu II,388.45350
Cu II,390.31759
Cu II,392.06561
Cu I,402.26286
Cu II,404.34858
Cu I,406.26378
Cu I,424.8956
Cu I,427.5108
Cu I,448.03494
Cu I,450.9382
Cu I,453.07828
Cu I,453.9699
Cu I,458.6967
Cu I,465.1122
Cu II,467.170176
Cu II,467.35774
Cu II,468.19935
Cu I,470.4597
Cu II,475.84334
Cu II,481.29474
Cu II,485.12617
Cu II,485.498743
Cu II,487.33035
Cu II,490.142634
Cu II,490.656612
Cu II,490.973351
Cu II,491.291987
Cu II,491.58312
Cu II,491.83778
Cu II,492.64232
Cu II,493.155505
Cu II,493.16981
Cu II,493.722031
Cu II,493.797372
Cu II,494.30250
Cu II,495.37246
Cu II,496.98046
Cu II,497.36959
Cu II,497.41533
Cu II,498.51381
Cu II,498.550498
Cu II,498.8326
Cu II,500.679978
Cu II,500.985058
Cu II,501.26199
Cu II,502.127849
Cu II,503.90141
Cu II,504.133123
Cu II,505.179209
Cu II,505.890923
Cu II,506.545861
Cu II,506.709423
Cu II,508.84896
Cu II,508.89421
Cu II,509.381536
Cu II,510.09762
Cu I,510.5548
Cu II,512.075319
Cu I,515.3238
Cu II,515.80916
Cu II,518.33664
Cu I,521.8202
Cu I,522.0070
Cu I,529.2524
Cu II,532.79842
Cu II,532.88109
Cu II,532.8963
Cu II,534.5160
Cu II,534.7809
Cu II,535.51870
Cu II,536.1907
Cu II,537.5276
Cu II,538.19485
Cu II,538.6435
Cu II,539.8573
Cu II,542.23947
Cu II,557.84337
Cu II,558.43413
Cu II,559.25272
Cu II,560.72823
Cu II,566.74344
Cu II,567.03245
Cu I,578.2126
Cu II,582.58247
Cu II,583.35141
Cu II,593.75815
Cu II,594.11951
Cu II,598.83135
Cu II,599.55876
Cu II,600.01168
