name,nm
Fe II,247.040882
Fe II,247.048519
Fe II,247.066910
Fe II,247.076496
Fe II,247.087894
Fe I,247.096525
Fe II,247.116658
Fe II,247.123977
Fe II,247.127562
Fe II,247.127575
Fe II,247.137833
Fe II,247.207301
Fe I,247.233614
Fe I,247.235118
Fe II,247.242804
Fe II,247.253281
Fe II,247.260515
Fe II,247.265060
Fe I,247.287203
Fe I,247.289473
Fe II,247.303024
Fe I,247.315677
Fe II,247.332105
Fe II,247.346048
Fe II,247.370531
Fe II,247.405349
Fe II,247.420916
Fe II,247.439307
Fe II,247.448899
Fe II,247.451950
Fe II,247.473128
Fe II,247.476510
Fe I,247.481423
Fe II,247.506828
Fe II,247.511681
Fe II,247.511798
Fe II,247.554128
Fe II,247.577900
Fe II,247.626389
Fe II,247.639270
Fe I,247.665658
Fe I,247.686504
Fe II,247.734336
Fe II,247.738233
Fe II,247.750102
Fe II,247.790658
Fe II,247.811309
Fe II,247.817749
Fe II,247.821075
Fe II,247.844958
Fe II,247.857199
Fe II,247.914309
Fe II,247.92301
Fe II,247.929288
Fe II,247.938084
Fe I,247.948014
Fe I,247.977624
Fe II,247.985363
Fe II,248.015733
Fe II,248.095101
Fe II,248.104922
Fe II,248.157764
Fe II,248.169529
Fe II,248.211711
Fe II,248.221928
Fe II,248.232580
Fe II,248.265731
Fe II,248.26755
Fe II,248.286663
Fe I,248.327095
Fe II,248.337126
Fe I,248.353328
Fe II,248.365792
Fe II,248.372344
Fe I,248.418719
Fe II,248.423466
Fe II,248.424497
Fe II,248.444200
Fe II,248.456951
Fe II,248.471062
Fe II,248.48093
Fe II,248.501526
Fe II,248.523620
Fe II,248.550609
Fe I,248.599010
Fe II,248.635096
Fe I,248.637304
Fe I,248.669182
Fe I,248.706582
Fe II,248.710542
Fe I,248.736961
Fe II,248.753327
Fe I,248.814253
Fe II,248.831985
Fe II,248.83530
Fe II,248.874787
Fe II,248.910986
Fe II,248.934229
Fe II,248.942486
Fe II,248.948035
Fe II,248.948409
Fe I,248.975218
Fe II,248.982965
Fe I,248.991317
Fe II,249.04090
Fe I,249.064410
Fe II,249.071263
Fe II,249.083016
Fe II,249.085808
Fe II,249.090240
Fe I,249.115480
Fe II,249.120416
Fe II,249.123456
Fe II,249.139620
Fe II,249.148785
Fe II,249.163348
Fe II,249.195131
Fe I,249.198902
Fe II,249.234387
Fe II,249.289088
Fe II,249.318437
Fe II,249.322334
Fe II,249.326340
Fe II,249.375146
Fe II,249.380198
Fe II,249.387657
Fe I,249.400052
Fe II,249.411622
Fe II,249.420164
Fe I,249.425130
Fe II,249.429798
Fe II,249.490300
Fe II,249.523264
Fe II,249.549807
Fe II,249.586831
Fe I,249.587367
Fe II,249.633702
Fe II,249.639587
Fe I,249.653365
Fe II,249.712049
Fe II,249.730292
Fe II,249.771363
Fe II,249.781897
Fe II,249.808182
Fe II,249.836130
Fe II,249.889733
Fe II,249.896771
Fe II,249.905582
Fe II,249.913404
Fe II,250.030740
Fe II,250.092331
Fe I,250.113174
Fe II,250.135063
Fe I,250.169377
Fe II,250.194065
Fe II,250.204380
Fe II,250.230642
Fe II,250.233410
Fe II,250.239274
Fe II,250.315271
Fe II,250.321989
Fe II,250.332617
Fe II,250.340827
Fe II,250.353874
Fe II,250.356459
Fe II,250.363023
Fe II,250.387412
Fe II,250.406259
Fe II,250.489035
Fe I,250.50081
Fe II,250.536051
Fe II,250.548195
Fe II,250.575647
Fe II,250.582375
Fe II,250.609331
Fe II,250.642926
Fe II,250.643244
Fe I,250.657165
Fe II,250.672050
Fe II,250.676350
Fe II,250.679662
Fe II,250.69853
Fe II,250.702226
Fe II,250.759415
Fe II,250.766356
Fe II,250.768625
Fe I,250.790017
Fe II,250.834106
Fe I,250.875314
Fe II,250.881384
Fe II,250.912102
Fe II,250.914680
Fe II,250.936397
Fe II,250.948283
Fe II,250.964796
Fe II,250.970208
Fe II,250.986308
