name,nm
N II,399.5
N II,444.703
N II,463.054
N II,500.515
N II,567.956
N II,594.165
N II,648.205
N II,661.056
N II,279.921
N II,361.5864
N II,383.837
N II,463.054
N V,274.865
N V,274.895
N V,315.976
N III,322.92
N III,334.276
N III,334.209
N III,336.098
N III,337.407
N III,375.757
N IV,370.739
N IV,373.543
N III,375.765
N III,421.577
N III,422.774
N III,445.712
N III,453.458
N III,453.505
N I,443.511
N I,443.543
N I,493.512
N I,532.8617
N I,551.309
N I,559.1756
N II,463.061
N II,481.2082
N II,500.732
N II,504.0711
N II,504.5099
N II,517.446
N III,463.413
N III,488.066
N III,488.178
N III,527.057
N III,527.179
N III,535.246
N II,517.589
N II,517.657
N II,518.4961
N II,518.5087
N II,519.1965
N II,532.0958
N II,535.1232
N III,535.246
N III,594.344
N II-,589.001
N II-,589.053




