
Spectrum  ,      Observed Wavelength Air (nm)      ,        Ritz Wavelength Air (nm)                    
Cu II     ,         247.33333  ,         247.333345 
Cu II     ,         248.57919  ,         248.579176 
Cu II     ,         248.96523  ,         248.965236 
Cu I      ,         249.2146   ,         249.21428  
Cu II     ,         250.62727  ,         250.627258 
          ,                    ,                    
Cu II     ,         252.65923  ,         252.659232 
Cu II     ,         252.930395 ,         252.930385 
Cu II     ,         254.480509 ,         254.480482 
Cu II     ,         257.17551  ,         257.175556 
Cu II     ,         259.052825 ,         259.052826 
          ,                    ,                    
Cu II     ,         259.88126  ,         259.881194 
Cu II     ,         260.026992 ,         260.026973 
Cu I      ,         261.8366   ,         261.83685  
Cu II     ,         262.06656  ,         262.066627 
Cu II     ,         266.62906  ,         266.629047 
          ,                    ,                    
Cu II     ,         268.92993  ,         268.929932 
Cu II     ,         270.096242 ,         270.096252 
Cu II     ,         270.318424 ,         270.318448 
Cu II     ,         271.35078  ,         271.350740 
Cu II     ,         271.87770  ,         271.877770 
          ,                    ,                    
Cu II     ,         272.16764  ,         272.167628 
Cu II     ,         273.73415  ,         273.734194 
Cu II     ,         273.97662  ,         273.976664 
Cu II     ,         274.52710  ,         274.527056 
Cu I      ,         276.6371   ,         276.63913  
          ,                    ,                    
Cu II     ,         276.96690  ,         276.966882 
Cu I      ,         282.4370   ,         282.4368   
Cu II     ,         283.73682  ,         283.736814 
Cu II     ,         287.76996  ,         287.769898 
Cu II     ,         288.41954  ,         288.419598 
          ,                    ,                    
Cu I      ,         296.1165   ,         296.1164   
Cu I      ,         306.3411   ,         306.3410   
Cu I      ,         319.4099   ,         319.4096   
Cu I      ,         324.7540   ,         324.75358  
Cu I      ,         327.3957   ,         327.39521  
          ,                    ,                    
Cu II     ,         329.04174  ,         329.041683 
Cu II     ,         330.08815  ,         330.08808  
Cu II     ,         330.12286  ,         330.122844 
Cu II     ,         331.62756  ,         331.62752  
Cu II     ,         333.86475  ,         333.86475  
          ,                    ,                    
Cu II     ,         336.56475  ,         336.56470  
Cu II     ,         337.04529  ,         337.045289 
Cu II     ,         337.49515  ,         337.49510  
Cu II     ,         338.07117  ,         338.07116  
Cu II     ,         388.41312  ,         388.41313  
          ,                    ,                    
Cu II     ,         388.45339  ,         388.45350  
Cu II     ,         390.31761  ,         390.31759  
Cu II     ,         392.06546  ,         392.06561  
Cu I      ,         402.2629   ,         402.26286  
Cu II     ,         404.34879  ,         404.34858  
          ,                    ,                    
Cu I      ,         406.2641   ,         406.26378  
Cu I      ,         424.8956   ,         424.8956   
Cu I      ,         427.5107   ,         427.5108   
Cu I      ,         448.0350   ,         448.03494  
Cu I      ,         450.9374   ,         450.9382   
          ,                    ,                    
Cu I      ,         453.0785   ,         453.07828  
Cu I      ,         453.9695   ,         453.9699   
Cu I      ,         458.697    ,         458.6967   
Cu I      ,         465.1124   ,         465.1122   
Cu II     ,         467.17016  ,         467.170176 
          ,                    ,                    
Cu II     ,         467.35772  ,         467.35774  
Cu II     ,         468.19938  ,         468.19935  
Cu I      ,         470.4594   ,         470.4597   
Cu II     ,         475.84334  ,         475.84334  
Cu II     ,         481.29476  ,         481.29474  
          ,                    ,                    
Cu II     ,         485.12625  ,         485.12617  
Cu II     ,         485.498733 ,         485.498743 
Cu II     ,         487.33056  ,         487.33035  
Cu II     ,         490.142635 ,         490.142634 
Cu II     ,         490.65663  ,         490.656612 
          ,                    ,                    
Cu II     ,         490.973351 ,         490.973351 
Cu II     ,         491.291989 ,         491.291987 
Cu II     ,         491.58321  ,         491.58312  
Cu II     ,         491.83779  ,         491.83778  
Cu II     ,         492.64228  ,         492.64232  
          ,                    ,                    
Cu II     ,         493.155496 ,         493.155505 
Cu II     ,         493.16982  ,         493.16981  
Cu II     ,         493.722029 ,         493.722031 
Cu II     ,         493.79740  ,         493.797372 
Cu II     ,         494.30240  ,         494.30250  
          ,                    ,                    
Cu II     ,         495.37244  ,         495.37246  
Cu II     ,         496.98062  ,         496.98046  
Cu II     ,         497.36975  ,         497.36959  
Cu II     ,         497.41542  ,         497.41533  
Cu II     ,         498.51421  ,         498.51381  
          ,                    ,                    
Cu II     ,         498.550499 ,         498.550498 
Cu II     ,         498.8327   ,         498.8326   
Cu II     ,         500.679983 ,         500.679978 
Cu II     ,         500.98505  ,         500.985058 
Cu II     ,         501.26197  ,         501.26199  
          ,                    ,                    
Cu II     ,         502.12785  ,         502.127849 
Cu II     ,         503.90109  ,         503.90141  
Cu II     ,         504.13310  ,         504.133123 
Cu II     ,         505.179210 ,         505.179209 
Cu II     ,         505.890906 ,         505.890923 
          ,                    ,                    
Cu II     ,         506.545858 ,         506.545861 
Cu II     ,         506.709416 ,         506.709423 
Cu II     ,         508.84882  ,         508.84896  
Cu II     ,         508.89426  ,         508.89421  
Cu II     ,         509.381535 ,         509.381536 
          ,                    ,                    
Cu II     ,         510.09790  ,         510.09762  
Cu I      ,         510.5541   ,         510.5548   
Cu II     ,         512.07535  ,         512.075319 
Cu I      ,         515.3235   ,         515.3238   
Cu II     ,         515.80914  ,         515.80916  
          ,                    ,                    
Cu II     ,         518.33664  ,         518.33664  
Cu I      ,         521.8202   ,         521.8202   
Cu I      ,         522.0070   ,         522.0070   
Cu I      ,         529.2517   ,         529.2524   
Cu II     ,         532.79841  ,         532.79842  
          ,                    ,                    
Cu II     ,         532.88109  ,         532.88109  
Cu II     ,         532.8963   ,         532.8963   
Cu II     ,         534.5160   ,         534.5160   
Cu II     ,         534.7809   ,         534.7809   
Cu II     ,         535.5186   ,         535.51870  
          ,                    ,                    
Cu II     ,         536.1907   ,         536.1907   
Cu II     ,         537.5276   ,         537.5276   
Cu II     ,         538.19479  ,         538.19485  
Cu II     ,         538.6435   ,         538.6435   
Cu II     ,         539.8573   ,         539.8573   
          ,                    ,                    
Cu II     ,         542.2392   ,         542.23947  
Cu II     ,         557.84356  ,         557.84337  
Cu II     ,         558.4346   ,         558.43413  
Cu II     ,         559.25298  ,         559.25272  
Cu II     ,         560.7282   ,         560.72823  
          ,                    ,                    
Cu II     ,         566.7434   ,         566.74344  
Cu II     ,         567.0329   ,         567.03245  
Cu I      ,         578.2132   ,         578.2126   
Cu II     ,         582.5823   ,         582.58247  
Cu II     ,         583.35146  ,         583.35141  
          ,                    ,                    
Cu II     ,         593.7576   ,         593.75815  
Cu II     ,         594.11951  ,         594.11951  
Cu II     ,         598.83141  ,         598.83135  
Cu II     ,         599.55902  ,         599.55876  
Cu II     ,         600.01169  ,         600.01168  
