Spectrum  ,      Observed Wavelength Air (nm)     ,        Ritz  Wavelength Air (nm)   
Fe II     ,         247.040878 ,         247.040882 
Fe II     ,         247.0495   ,         247.048519 
Fe II     ,         247.066913 ,         247.066910 
Fe II     ,         247.076490 ,         247.076496 
Fe II     ,         247.087894 ,         247.087894 
          ,                    ,                    
Fe I      ,         247.09653  ,         247.096525 
Fe II     ,         247.11664  ,         247.116658 
Fe II     ,         247.12407  ,         247.123977 
Fe II     ,         247.12757  ,         247.127562 
Fe II     ,         247.12757  ,         247.127575 
          ,                    ,                    
Fe II     ,         247.1380   ,         247.137833 
Fe II     ,         247.20729  ,         247.207301 
Fe I      ,         247.2341   ,         247.233614 
Fe I      ,         247.2341   ,         247.235118 
Fe II     ,         247.242806 ,         247.242804 
          ,                    ,                    
Fe II     ,         247.25325  ,         247.253281 
Fe II     ,         247.260515 ,         247.260515 
Fe II     ,         247.26508  ,         247.265060 
Fe I      ,         247.28711  ,         247.287203 
Fe I      ,         247.28947  ,         247.289473 
          ,                    ,                    
Fe II     ,         247.303086 ,         247.303024 
Fe I      ,         247.31566  ,         247.315677 
Fe II     ,         247.332101 ,         247.332105 
Fe II     ,         247.34593  ,         247.346048 
Fe II     ,         247.37058  ,         247.370531 
          ,                    ,                    
Fe II     ,         247.405347 ,         247.405349 
Fe II     ,         247.42092  ,         247.420916 
Fe II     ,         247.43943  ,         247.439307 
Fe II     ,         247.44889  ,         247.448899 
Fe II     ,         247.45197  ,         247.451950 
          ,                    ,                    
Fe II     ,         247.47325  ,         247.473128 
Fe II     ,         247.476504 ,         247.476510 
Fe I      ,         247.48142  ,         247.481423 
Fe II     ,         247.50680  ,         247.506828 
Fe II     ,         247.511692 ,         247.511681 
          ,                    ,                    
Fe II     ,         247.511692 ,         247.511798 
Fe II     ,         247.554125 ,         247.554128 
Fe II     ,         247.5779   ,         247.577900 
Fe II     ,         247.626397 ,         247.626389 
Fe II     ,         247.63929  ,         247.639270 
          ,                    ,                    
Fe I      ,         247.66565  ,         247.665658 
Fe I      ,         247.68654  ,         247.686504 
Fe II     ,         247.734319 ,         247.734336 
Fe II     ,         247.73825  ,         247.738233 
Fe II     ,         247.74998  ,         247.750102 
          ,                    ,                    
Fe II     ,         247.790657 ,         247.790658 
Fe II     ,         247.81130  ,         247.811309 
Fe II     ,         247.81776  ,         247.817749 
Fe II     ,         247.82107  ,         247.821075 
Fe II     ,         247.84503  ,         247.844958 
          ,                    ,                    
Fe II     ,         247.857194 ,         247.857199 
Fe II     ,         247.91433  ,         247.914309 
Fe II     ,         247.92277  ,         247.92301  
Fe II     ,         247.92928  ,         247.929288 
Fe II     ,         247.93814  ,         247.938084 
          ,                    ,                    
Fe I      ,         247.94802  ,         247.948014 
Fe I      ,         247.97762  ,         247.977624 
Fe II     ,         247.98518  ,         247.985363 
Fe II     ,         248.015734 ,         248.015733 
Fe II     ,         248.095138 ,         248.095101 
          ,                    ,                    
Fe II     ,         248.104930 ,         248.104922 
Fe II     ,         248.15782  ,         248.157764 
Fe II     ,         248.16951  ,         248.169529 
Fe II     ,         248.211698 ,         248.211711 
Fe II     ,         248.22193  ,         248.221928 
          ,                    ,                    
Fe II     ,         248.232580 ,         248.232580 
Fe II     ,         248.265725 ,         248.265731 
Fe II     ,         248.26754  ,         248.26755  
Fe II     ,         248.286672 ,         248.286663 
Fe I      ,         248.32707  ,         248.327095 
          ,                    ,                    
Fe II     ,         248.337123 ,         248.337126 
Fe I      ,         248.35332  ,         248.353328 
Fe II     ,         248.36582  ,         248.365792 
Fe II     ,         248.37237  ,         248.372344 
Fe I      ,         248.41875  ,         248.418719 
          ,                    ,                    
Fe II     ,                    ,         248.423466 
Fe II     ,         248.424431 ,         248.424497 
Fe II     ,         248.444204 ,         248.444200 
Fe II     ,         248.45698  ,         248.456951 
Fe II     ,         248.471057 ,         248.471062 
          ,                    ,                    
Fe II     ,         248.48111  ,         248.48093  
Fe II     ,         248.50128  ,         248.501526 
Fe II     ,         248.52367  ,         248.523620 
Fe II     ,         248.55056  ,         248.550609 
Fe I      ,         248.59901  ,         248.599010 
          ,                    ,                    
Fe II     ,         248.635078 ,         248.635096 
Fe I      ,         248.63725  ,         248.637304 
Fe I      ,         248.66917  ,         248.669182 
Fe I      ,         248.70658  ,         248.706582 
Fe II     ,         248.71068  ,         248.710542 
          ,                    ,                    
Fe I      ,         248.73697  ,         248.736961 
Fe II     ,         248.7534   ,         248.753327 
Fe I      ,         248.81423  ,         248.814253 
Fe II     ,         248.83212  ,         248.831985 
Fe II     ,         248.83540  ,         248.83530  
          ,                    ,                    
Fe II     ,         248.87476  ,         248.874787 
Fe II     ,         248.91103  ,         248.910986 
Fe II     ,         248.93422  ,         248.934229 
Fe II     ,         248.9424   ,         248.942486 
Fe II     ,         248.948295 ,         248.948035 
          ,                    ,                    
Fe II     ,         248.948295 ,         248.948409 
Fe I      ,         248.97523  ,         248.975218 
Fe II     ,         248.982955 ,         248.982965 
Fe I      ,         248.99131  ,         248.991317 
Fe II     ,         249.0418   ,         249.04090  
          ,                    ,                    
Fe I      ,         249.06442  ,         249.064410 
Fe II     ,         249.0706   ,         249.071263 
Fe II     ,         249.08300  ,         249.083016 
Fe II     ,         249.085813 ,         249.085808 
Fe II     ,         249.09027  ,         249.090240 
          ,                    ,                    
Fe I      ,         249.11548  ,         249.115480 
Fe II     ,         249.12047  ,         249.120416 
Fe II     ,         249.12342  ,         249.123456 
Fe II     ,         249.139624 ,         249.139620 
Fe II     ,         249.14892  ,         249.148785 
          ,                    ,                    
Fe II     ,         249.1643   ,         249.163348 
Fe II     ,         249.19513  ,         249.195131 
Fe I      ,                    ,         249.198902 
Fe II     ,         249.234388 ,         249.234387 
Fe II     ,         249.289084 ,         249.289088 
          ,                    ,                    
Fe II     ,         249.318431 ,         249.318437 
Fe II     ,         249.322359 ,         249.322334 
Fe II     ,         249.326342 ,         249.326340 
Fe II     ,         249.375180 ,         249.375146 
Fe II     ,         249.38001  ,         249.380198 
          ,                    ,                    
Fe II     ,         249.387659 ,         249.387657 
Fe I      ,         249.40008  ,         249.400052 
Fe II     ,         249.41160  ,         249.411622 
Fe II     ,         249.42011  ,         249.420164 
Fe I      ,         249.42513  ,         249.425130 
          ,                    ,                    
Fe II     ,         249.4304   ,         249.429798 
Fe II     ,         249.49026  ,         249.490300 
Fe II     ,         249.52329  ,         249.523264 
Fe II     ,         249.5497   ,         249.549807 
Fe II     ,         249.586823 ,         249.586831 
          ,                    ,                    
Fe I      ,         249.5872   ,         249.587367 
Fe II     ,         249.633685 ,         249.633702 
Fe II     ,         249.639575 ,         249.639587 
Fe I      ,         249.65337  ,         249.653365 
Fe II     ,         249.7122   ,         249.712049 
          ,                    ,                    
Fe II     ,         249.73029  ,         249.730292 
Fe II     ,         249.77138  ,         249.771363 
Fe II     ,         249.781897 ,         249.781897 
Fe II     ,         249.808194 ,         249.808182 
Fe II     ,         249.83603  ,         249.836130 
          ,                    ,                    
Fe II     ,         249.889721 ,         249.889733 
Fe II     ,         249.896787 ,         249.896771 
Fe II     ,         249.90563  ,         249.905582 
Fe II     ,         249.91336  ,         249.913404 
Fe II     ,         250.03075  ,         250.030740 
          ,                    ,                    
Fe II     ,         250.092334 ,         250.092331 
Fe I      ,         250.11318  ,         250.113174 
Fe II     ,         250.13504  ,         250.135063 
Fe I      ,         250.16939  ,         250.169377 
Fe II     ,         250.1951   ,         250.194065 
          ,                    ,                    
Fe II     ,         250.20439  ,         250.204380 
Fe II     ,         250.23062  ,         250.230642 
Fe II     ,         250.23352  ,         250.233410 
Fe II     ,         250.239272 ,         250.239274 
Fe II     ,         250.3157   ,         250.315271 
          ,                    ,                    
Fe II     ,         250.32201  ,         250.321989 
Fe II     ,         250.332617 ,         250.332617 
Fe II     ,         250.34089  ,         250.340827 
Fe II     ,         250.35386  ,         250.353874 
Fe II     ,         250.356486 ,         250.356459 
          ,                    ,                    
Fe II     ,         250.36301  ,         250.363023 
Fe II     ,         250.387419 ,         250.387412 
Fe II     ,         250.40619  ,         250.406259 
Fe II     ,         250.48902  ,         250.489035 
Fe I      ,         250.50077  ,         250.50081  
          ,                    ,                    
Fe II     ,         250.53600  ,         250.536051 
Fe II     ,         250.54824  ,         250.548195 
Fe II     ,         250.5760   ,         250.575647 
Fe II     ,         250.5829   ,         250.582375 
Fe II     ,         250.609325 ,         250.609331 
          ,                    ,                    
Fe II     ,         250.643094 ,         250.642926 
Fe II     ,         250.643094 ,         250.643244 
Fe I      ,         250.65722  ,         250.657165 
Fe II     ,         250.67207  ,         250.672050 
Fe II     ,         250.67649  ,         250.676350 
          ,                    ,                    
Fe II     ,         250.679656 ,         250.679662 
Fe II     ,         250.6987   ,         250.69853  
Fe II     ,         250.70221  ,         250.702226 
Fe II     ,         250.759408 ,         250.759415 
Fe II     ,         250.76636  ,         250.766356 
          ,                    ,                    
Fe II     ,         250.768629 ,         250.768625 
Fe I      ,         250.79001  ,         250.790017 
Fe II     ,         250.834100 ,         250.834106 
Fe I      ,         250.87531  ,         250.875314 
Fe II     ,         250.88140  ,         250.881384 
          ,                    ,                    
Fe II     ,         250.912104 ,         250.912102 
Fe II     ,         250.91470  ,         250.914680 
Fe II     ,         250.9370   ,         250.936397 
Fe II     ,         250.94838  ,         250.948283 
Fe II     ,         250.9646   ,         250.964796 
          ,                    ,                    
Fe II     ,         250.9702   ,         250.970208 
Fe II     ,         250.98633  ,         250.986308 
Fe II     ,         250.9919   ,         250.992238 
Fe II     ,         251.01215  ,         251.012120 
Fe II     ,         251.02968  ,         251.029671 
          ,                    ,                    
Fe II     ,         251.03848  ,         251.038472 
Fe II     ,         251.05646  ,         251.056441 
Fe I      ,         251.08348  ,         251.083468 
Fe II     ,         251.138061 ,         251.138032 
Fe II     ,         251.16252  ,         251.162540 
          ,                    ,                    
Fe II     ,         251.175999 ,         251.176016 
Fe II     ,         251.19261  ,         251.192456 
Fe II     ,         251.20370  ,         251.203622 
Fe I      ,         251.22753  ,         251.227524 
Fe II     ,         251.23423  ,         251.234394 
          ,                    ,                    
Fe I      ,         251.23647  ,         251.236465 
Fe II     ,         251.237315 ,         251.237405 
Fe II     ,         251.252212 ,         251.252189 
Fe II     ,         251.28014  ,         251.280325 
Fe II     ,         251.31507  ,         251.315055 
          ,                    ,                    
Fe II     ,         251.34019  ,         251.340189 
Fe II     ,         251.34720  ,         251.346995 
Fe II     ,         251.40822  ,         251.408211 
Fe II     ,         251.438297 ,         251.438291 
Fe II     ,         251.44071  ,         251.440759 
          ,                    ,                    
Fe II     ,         251.49065  ,         251.490645 
Fe II     ,         251.49332  ,         251.493310 
Fe II     ,         251.51190  ,         251.511900 
Fe II     ,         251.55182  ,         251.551982 
Fe II     ,         251.57530  ,         251.575311 
          ,                    ,                    
Fe I      ,         251.58536  ,         251.585322 
Fe II     ,         251.59055  ,         251.590571 
Fe II     ,         251.59335  ,         251.593370 
Fe II     ,         251.6057   ,         251.604730 
Fe II     ,                    ,         251.611864 
          ,                    ,                    
Fe I      ,         251.65707  ,         251.657076 
Fe II     ,         251.713092 ,         251.713289 
Fe II     ,         251.72203  ,         251.722025 
Fe II     ,         251.73332  ,         251.733447 
Fe I      ,         251.76609  ,         251.766112 
          ,                    ,                    
Fe II     ,         251.79705  ,         251.797059 
Fe I      ,         251.81015  ,         251.810145 
Fe II     ,         251.85346  ,         251.853444 
Fe II     ,         251.90043  ,         251.900548 
Fe II     ,         251.904690 ,         251.904689 
          ,                    ,                    
Fe II     ,         251.90731  ,         251.906985 
Fe II     ,         251.94077  ,         251.940798 
Fe II     ,         251.96033  ,         251.960309 
Fe I      ,         251.96292  ,         251.962930 
Fe II     ,         251.98485  ,         251.984842 
          ,                    ,                    
Fe II     ,         252.02624  ,         252.026243 
Fe II     ,         252.03982  ,         252.039799 
Fe II     ,         252.05375  ,         252.053717 
Fe II     ,         252.06733  ,         252.067325 
Fe II     ,         252.0766   ,         252.076331 
          ,                    ,                    
Fe II     ,         252.109143 ,         252.109144 
Fe II     ,         252.12163  ,         252.121656 
Fe II     ,         252.13318  ,         252.133147 
Fe II     ,         252.14864  ,         252.14858  
Fe II     ,         252.181511 ,         252.181518 
          ,                    ,                    
Fe I      ,         252.19188  ,         252.191864 
Fe II     ,         252.21971  ,         252.219870 
Fe II     ,         252.24337  ,         252.243462 
Fe I      ,         252.24798  ,         252.247974 
Fe I      ,         252.28493  ,         252.284917 
          ,                    ,                    
Fe II     ,         252.289161 ,         252.289172 
Fe II     ,         252.344146 ,         252.344133 
Fe II     ,         252.41529  ,         252.415261 
Fe I      ,         252.42923  ,         252.429228 
Fe II     ,         252.47539  ,         252.475367 
          ,                    ,                    
Fe II     ,         252.4818   ,         252.481451 
Fe II     ,         252.51099  ,         252.510959 
Fe II     ,         252.53281  ,         252.532873 
Fe II     ,         252.538758 ,         252.538757 
Fe II     ,         252.54782  ,         252.547719 
          ,                    ,                    
Fe II     ,         252.56322  ,         252.563046 
Fe II     ,         252.56993  ,         252.569962 
Fe II     ,         252.58616  ,         252.585887 
Fe II     ,         252.58616  ,         252.586365 
Fe II     ,         252.591870 ,         252.591858 
          ,                    ,                    
Fe II     ,         252.607458 ,         252.607455 
Fe II     ,         252.629363 ,         252.629366 
Fe II     ,         252.6529   ,         252.653308 
Fe II     ,         252.66159  ,         252.661584 
Fe II     ,         252.710433 ,         252.710424 
          ,                    ,                    
Fe II     ,         252.71563  ,         252.715584 
Fe II     ,         252.72657  ,         252.726842 
Fe I      ,         252.72661  ,         252.726548 
Fe I      ,         252.74348  ,         252.743442 
Fe II     ,         252.745493 ,         252.745377 
          ,                    ,                    
Fe II     ,         252.76758  ,         252.767534 
Fe II     ,         252.770477 ,         252.770478 
Fe II     ,         252.8348   ,         252.835234 
Fe II     ,         252.86811  ,         252.868057 
Fe II     ,         252.907709 ,         252.907696 
          ,                    ,                    
Fe I      ,         252.91348  ,         252.913480 
Fe II     ,         252.922808 ,         252.922804 
Fe I      ,         252.93075  ,         252.93077  
Fe II     ,         252.954515 ,         252.954427 
Fe II     ,         252.955919 ,         252.955857 
          ,                    ,                    
Fe I      ,         252.98352  ,         252.983523 
Fe II     ,         252.99308  ,         252.993112 
Fe II     ,         253.0067   ,         253.006637 
Fe II     ,         253.010035 ,         253.010160 
Fe II     ,         253.010921 ,         253.010972 
          ,                    ,                    
Fe II     ,         253.0154   ,         253.015436 
Fe II     ,         253.02876  ,         253.028540 
Fe II     ,         253.03419  ,         253.034099 
Fe II     ,         253.04178  ,         253.041772 
Fe II     ,         253.05700  ,         253.056986 
          ,                    ,                    
Fe II     ,         253.187088 ,         253.187091 
Fe II     ,         253.2050   ,         253.205099 
Fe I      ,         253.28759  ,         253.287593 
Fe I      ,         253.31414  ,         253.314095 
Fe II     ,         253.3511   ,         253.351209 
          ,                    ,                    
Fe II     ,         253.362708 ,         253.362706 
Fe II     ,         253.41640  ,         253.416368 
Fe II     ,         253.441837 ,         253.441838 
Fe II     ,         253.450335 ,         253.450337 
Fe II     ,         253.48889  ,         253.488900 
          ,                    ,                    
