C 1 @ 279.408,C 1 @ 279.482,C 2 @ 280.146,C 3 @ 285.075,C 3 @ 285.149,K 1 @ 460.714,K 1 @ 460.716,K 2 @ 553.656,K 3 @ 280.146,N 1 @ 589.024,N 1 @ 589.116,N 2 @ 279.482,N 3 @ 334.762,N 4 @ 421.624,N 5 @ 443.506,N 5 @ 443.613,P 1 @ 334.762,P 1 @ 334.83,P 2 @ 553.656,P 3 @ 317.881,P 4 @ 407.871
476.15162228738245,476.15162228738245,476.15162228738245,169.34946985518255,169.34946985518255,150.75830410138502,150.75830410138502,349.00378923661935,394.1489429412907,661.2060267438159,661.2060267438159,476.15162228738245,155.80760300517224,70.51928931386412,177.82195352645783,177.82195352645783,214.94934806158182,214.94934806158182,349.00378923661935,390.53095250933245,56.67759676035072
401.79370700692414,401.79370700692414,401.79370700692414,160.63451516599707,160.63451516599707,131.98394944937368,131.98394944937368,278.65784667976305,328.8635673179768,526.2827007329859,526.2827007329859,401.79370700692414,133.34775310710893,0.0,149.82771147747576,149.82771147747576,208.81644281506723,208.81644281506723,278.65784667976305,285.7967085287395,54.26444313454772
326.30615973200656,326.30615973200656,326.30615973200656,147.33377544808926,147.33377544808926,181.40673723946358,181.40673723946358,403.5550062352391,276.96071046729395,527.1365024397134,527.1365024397134,326.30615973200656,156.46471451474832,86.68305268031604,209.72750447334207,209.72750447334207,209.88474023912144,209.88474023912144,403.5550062352391,391.4063999905615,82.14456012174823
312.13688029015253,312.13688029015253,312.13688029015253,137.3217389089011,137.3217389089011,184.1110758205072,184.1110758205072,359.4674747443912,258.93249530580795,551.4727645877277,551.4727645877277,312.13688029015253,156.75254602755692,90.80958504225629,182.75520897812845,182.75520897812845,236.99608243927568,236.99608243927568,359.4674747443912,323.1444755911318,85.59854473385285
384.03768944583555,384.03768944583555,384.03768944583555,150.3719166740655,150.3719166740655,223.99968473809935,223.99968473809935,635.4279805689927,318.37421982485364,666.2616854492776,666.2616854492776,384.03768944583555,155.95323460046743,0.0,318.69946588620746,318.69946588620746,208.47700133191697,208.47700133191697,635.4279805689927,642.1689471690019,94.04458491393339
377.8651085567955,377.8651085567955,377.8651085567955,152.9571484858412,152.9571484858412,186.13437376587993,186.13437376587993,444.29347930555906,325.7257917115331,650.9608778023456,650.9608778023456,377.8651085567955,157.09017297205475,93.51505843475884,248.3066881483916,248.3066881483916,233.79005997449542,233.79005997449542,444.29347930555906,478.4147488478813,81.05017300945373
388.4151430028079,388.4151430028079,388.4151430028079,159.9089344514696,159.9089344514696,189.06803565948397,189.06803565948397,418.84402496006,319.4335058524532,761.6975065558155,761.6975065558155,388.4151430028079,161.9769107198179,97.82366473123409,225.28226051023339,225.28226051023339,221.12212696248503,221.12212696248503,418.84402496006,426.7651985884454,89.89387923607657
309.22892847669266,309.22892847669266,309.22892847669266,136.49433823953663,136.49433823953663,186.02748945325564,186.02748945325564,407.877684805734,265.1368867660673,494.02971424530205,494.02971424530205,309.22892847669266,150.34339056598327,96.58336143184111,219.32917834351662,219.32917834351662,216.72128953808448,216.72128953808448,407.877684805734,431.26624396330436,76.38748180808159
348.94905488775163,348.94905488775163,348.94905488775163,144.0950902259122,144.0950902259122,158.40322911574862,158.40322911574862,313.9271441618522,290.75981430114064,865.8901429654488,865.8901429654488,348.94905488775163,204.05726910604358,79.46864249140815,144.63782930926237,144.63782930926237,379.8185465321052,379.8185465321052,313.9271441618522,210.67674628683116,69.26262711794797
352.66714601052,352.66714601052,352.66714601052,153.74244640072982,153.74244640072982,207.30794379482737,207.30794379482737,385.0699487926494,285.62308206208354,850.3793508049403,850.3793508049403,352.66714601052,204.14378992686733,105.49004150985377,196.0617431156519,196.0617431156519,320.30158462491517,320.30158462491517,385.0699487926494,250.9567863581995,104.33661791515614
406.3871137343334,406.3871137343334,406.3871137343334,162.54030492454748,162.54030492454748,198.11058882260954,198.11058882260954,378.8950966062437,340.4996181980261,755.7313213602495,755.7313213602495,406.3871137343334,165.22763753593534,93.7827885911215,201.7019383138551,201.7019383138551,243.82455562833047,243.82455562833047,378.8950966062437,342.3664192524001,91.5118389063551
419.68787582844783,419.68787582844783,419.68787582844783,170.74118074527215,170.74118074527215,191.14344914359677,191.14344914359677,403.02935827342236,351.99593655441384,927.5098618283988,927.5098618283988,419.68787582844783,179.35513886047818,104.40221274669868,217.57630192422903,217.57630192422903,280.0395971625849,280.0395971625849,403.02935827342236,389.9819169381847,84.95674056000655
356.81862469839626,356.81862469839626,356.81862469839626,157.97464594258432,157.97464594258432,168.9784336449413,168.9784336449413,318.8346180485889,293.9980334199247,567.0098180076897,567.0098180076897,356.81862469839626,150.22421044102165,82.31093464848509,166.91599394505567,166.91599394505567,217.77598481863978,217.77598481863978,318.8346180485889,272.2675564473594,74.56111376709134
388.1756660349544,388.1756660349544,388.1756660349544,160.26743678746584,160.26743678746584,175.32945073958615,175.32945073958615,321.11631054486367,322.49178617343983,633.2459343380806,633.2459343380806,388.1756660349544,156.13260411367347,88.5536951200512,175.56460824240338,175.56460824240338,222.1099697199025,222.1099697199025,321.11631054486367,273.0079411069788,83.33804701472104
430.4043750204631,430.4043750204631,430.4043750204631,170.57517182667152,170.57517182667152,206.9390263553151,206.9390263553151,370.8354829394133,360.2012071778519,818.7869358525279,818.7869358525279,430.4043750204631,168.50778648338567,99.44216846629672,197.9356316625648,197.9356316625648,252.53956533016236,252.53956533016236,370.8354829394133,293.9358154526319,84.1361412027553
425.15769066387634,425.15769066387634,425.15769066387634,166.01716113562347,166.01716113562347,199.10828811543388,199.10828811543388,375.48732307430276,350.20497575871326,683.6410483102591,683.6410483102591,425.15769066387634,170.84255742415863,97.5014031517349,201.1780048073426,201.1780048073426,250.8213717757749,250.8213717757749,375.48732307430276,323.2797541200265,84.2932425878137
397.6955811277902,397.6955811277902,397.6955811277902,160.48312055150785,160.48312055150785,191.59482774137928,191.59482774137928,373.57617771178076,335.538597852992,762.9204931940673,762.9204931940673,397.6955811277902,154.48734750925732,98.09934397781392,206.90476169339422,206.90476169339422,229.97057265606668,229.97057265606668,373.57617771178076,330.36604371372414,82.23012314863104
358.4235892651806,358.4235892651806,358.4235892651806,146.6602995514719,146.6602995514719,168.60495371831271,168.60495371831271,306.48538546852126,308.71543004822615,606.5253783729507,606.5253783729507,358.4235892651806,153.2062520703935,74.56102327265904,157.6956914469495,157.6956914469495,213.00069353610047,213.00069353610047,306.48538546852126,238.5213136981797,70.21326446212979
391.6380578908238,391.6380578908238,391.6380578908238,150.66910445232278,150.66910445232278,171.4555126597946,171.4555126597946,323.21848631531356,327.924683769384,726.1892724883611,726.1892724883611,391.6380578908238,157.21557607787696,90.46454762454958,179.34997066821518,179.34997066821518,219.08248354427633,219.08248354427633,323.21848631531356,298.932355186093,78.75224492520022
457.43346958142257,457.43346958142257,457.43346958142257,179.73883628607487,179.73883628607487,200.96711571620943,200.96711571620943,432.58969628167233,371.40875524125636,767.2857375423621,767.2857375423621,457.43346958142257,171.26595447436878,107.33568220448906,232.91853827963422,232.91853827963422,249.24080776353986,249.24080776353986,432.58969628167233,390.467627902382,94.4228893375194
