C 1 @ 279.408,C 1 @ 279.482,C 2 @ 280.146,C 3 @ 285.075,C 3 @ 285.149,K 1 @ 460.714,K 1 @ 460.716,K 2 @ 553.656,K 3 @ 280.146,N 1 @ 589.024,N 1 @ 589.116,N 2 @ 279.482,N 3 @ 334.762,N 4 @ 421.624,N 5 @ 443.506,N 5 @ 443.613,P 1 @ 334.762,P 1 @ 334.83,P 2 @ 553.656,P 3 @ 317.881,P 4 @ 407.871
509.48854661510615,509.48854661510615,509.48854661510615,177.04465709724786,177.04465709724786,174.5761372986575,174.5761372986575,320.9450616670428,410.4616755958662,654.4612598492494,654.4612598492494,509.48854661510615,173.25474339667483,86.99194380896562,179.27813294185123,179.27813294185123,237.719544140298,237.719544140298,320.9450616670428,288.76728565807156,83.59116258784393
398.14698980965545,398.14698980965545,398.14698980965545,149.34745595862668,149.34745595862668,136.0780642029213,136.0780642029213,221.44566938398506,321.69564138248904,570.2609168456923,570.2609168456923,398.14698980965545,149.96749052028537,76.54208539504782,112.78105003149979,112.78105003149979,231.86252746392734,231.86252746392734,221.44566938398506,166.51632024011386,65.65172107369759
557.1692130938875,557.1692130938875,557.1692130938875,182.16370349208438,182.16370349208438,176.01638265767238,176.01638265767238,299.48840205512676,436.011403327807,818.3994047556887,818.3994047556887,557.1692130938875,189.19536696540908,86.96298168797837,160.22922991306936,160.22922991306936,280.2275665698556,280.2275665698556,299.48840205512676,196.84693868570236,78.34086787742532
554.3392013633609,554.3392013633609,554.3392013633609,185.37845205804365,185.37845205804365,180.33478801099432,180.33478801099432,286.7908158893373,436.09564933637927,761.3224939764376,761.3224939764376,554.3392013633609,181.41545347538542,88.05640826567456,142.17664849177058,142.17664849177058,272.61525617533573,272.61525617533573,286.7908158893373,175.21336466087624,79.56205215915377
473.23006489080063,473.23006489080063,473.23006489080063,168.19911781055097,168.19911781055097,165.47165789713443,165.47165789713443,274.4676456063072,362.9543085652606,909.5027035080584,909.5027035080584,473.23006489080063,160.5490254653073,80.43733899945133,137.70588387901665,137.70588387901665,225.9008363351376,225.9008363351376,274.4676456063072,152.69241929979103,77.48787877692772
585.3683891844651,585.3683891844651,585.3683891844651,196.59292036479974,196.59292036479974,181.8462547347909,181.8462547347909,297.41545598331356,449.86302512885356,777.2881653001938,777.2881653001938,585.3683891844651,184.80511216902943,94.41089194316939,155.91281189933878,155.91281189933878,283.07759058426154,283.07759058426154,297.41545598331356,186.66736467349972,78.30787172924245
578.8890062794994,578.8890062794994,578.8890062794994,198.45260129008668,198.45260129008668,196.54021917839637,196.54021917839637,336.5983913103439,450.9327830149548,1170.9147795647284,1170.9147795647284,578.8890062794994,213.44751913561709,90.20704496374286,153.9055702681674,153.9055702681674,345.92264419079703,345.92264419079703,336.5983913103439,179.49666714273974,85.30236262506848
539.7026511631782,539.7026511631782,539.7026511631782,185.25921725669497,185.25921725669497,189.10857804585174,189.10857804585174,327.7631728529568,422.93962427782765,725.1476253803658,725.1476253803658,539.7026511631782,175.80648721896276,97.64345935897732,171.57103085733527,171.57103085733527,262.54214962594654,262.54214962594654,327.7631728529568,294.0366610463931,87.76868238917261
511.59610682565574,511.59610682565574,511.59610682565574,179.29580834104618,179.29580834104618,167.03942566709833,167.03942566709833,285.3034296229172,407.9047609211283,665.0439870232034,665.0439870232034,511.59610682565574,166.8897042085621,83.8635086329857,157.2138391643703,157.2138391643703,246.3735054000896,246.3735054000896,285.3034296229172,236.17783571361755,73.6559897726022
437.0572987492039,437.0572987492039,437.0572987492039,148.45518716550987,148.45518716550987,135.58911854604077,135.58911854604077,229.0485124984803,349.3891315102171,681.5188593187925,681.5188593187925,437.0572987492039,161.6867328421303,68.80326153218158,115.0316156959274,115.0316156959274,247.1092173667033,247.1092173667033,229.0485124984803,149.2823248161366,66.76417341628738
496.1031656664411,496.1031656664411,496.1031656664411,173.52025985745777,173.52025985745777,149.99024046399543,149.99024046399543,255.75168367228102,391.73104257963365,689.6364080346674,689.6364080346674,496.1031656664411,161.28792864291538,78.16302549379411,128.7196198911795,128.7196198911795,233.5011341558618,233.5011341558618,255.75168367228102,187.30564926470865,69.27549068901907
498.8645207659698,498.8645207659698,498.8645207659698,176.99520696747408,176.99520696747408,152.56544454863823,152.56544454863823,250.6777071619194,392.6944287184398,635.7500147340448,635.7500147340448,498.8645207659698,167.897649830427,69.2757120635174,124.55247372896179,124.55247372896179,240.49688989915725,240.49688989915725,250.6777071619194,177.82312999739787,70.4172585548255
471.2805745688824,471.2805745688824,471.2805745688824,162.7437011855899,162.7437011855899,170.5329658686422,170.5329658686422,248.0863039555626,363.150043531982,718.1421630991089,718.1421630991089,471.2805745688824,157.57666303421271,87.66408135352053,138.94708281050967,138.94708281050967,235.1315259222591,235.1315259222591,248.0863039555626,174.46133560551212,68.38635590366789
547.5083998599613,547.5083998599613,547.5083998599613,190.37150168014904,190.37150168014904,172.3955542817655,172.3955542817655,309.86917092370464,417.86213279434196,676.6046978838696,676.6046978838696,547.5083998599613,164.52550264456977,92.73405083793658,161.68534521843532,161.68534521843532,262.51979122665233,262.51979122665233,309.86917092370464,300.8387494974627,75.15850269917473
504.0074165876107,504.0074165876107,504.0074165876107,172.30944953143012,172.30944953143012,169.30122130848264,169.30122130848264,260.63630289342296,402.8396919604489,673.2751780375671,673.2751780375671,504.0074165876107,173.78549849476764,76.10346553542138,131.40838343692477,131.40838343692477,270.4274940426706,270.4274940426706,260.63630289342296,162.85563622944582,78.53049184909987
613.281836480618,613.281836480618,613.281836480618,211.99161299232614,211.99161299232614,196.8892265638755,196.8892265638755,339.17953784609097,471.3135673474473,1107.6804595415672,1107.6804595415672,613.281836480618,203.09774087040557,96.8709938828393,173.4764727855612,173.4764727855612,341.5655465428387,341.5655465428387,339.17953784609097,165.67051595053425,89.83659811147972
584.7099668573393,584.7099668573393,584.7099668573393,193.49674104860438,193.49674104860438,197.23166383104328,197.23166383104328,438.0800399015072,456.6461172406752,953.9366967154339,953.9366967154339,584.7099668573393,185.37197603867153,93.83566223204272,247.14921565177215,247.14921565177215,272.56212974476165,272.56212974476165,438.0800399015072,535.7901445859815,93.99945297394687
581.5985501797364,581.5985501797364,581.5985501797364,194.70302449802244,194.70302449802244,187.94924203447903,187.94924203447903,323.61073891437684,449.21135260883875,902.5268504870897,902.5268504870897,581.5985501797364,204.42335394481717,84.69206218644406,168.80096729344035,168.80096729344035,326.9469675788963,326.9469675788963,323.61073891437684,180.0208911766452,76.52863112614143
515.6103700725762,515.6103700725762,515.6103700725762,179.20349185016323,179.20349185016323,163.59084908408727,163.59084908408727,267.43923912619346,395.74029476202816,660.2717086726392,660.2717086726392,515.6103700725762,180.0307750655357,85.36518059382811,131.9817024624626,131.9817024624626,272.7148915301913,272.7148915301913,267.43923912619346,183.96242469374133,72.4365541096049
461.1081410446486,461.1081410446486,461.1081410446486,164.96805770775484,164.96805770775484,137.06053678685356,137.06053678685356,212.11910804074267,366.9106871497357,522.1356788285209,522.1356788285209,461.1081410446486,153.85527480076328,73.95265325641132,110.19034982536223,110.19034982536223,229.59849345158725,229.59849345158725,212.11910804074267,156.31137827157104,65.00584231449717
418.41325293016934,418.41325293016934,418.41325293016934,153.20263429168432,153.20263429168432,152.06982178510322,152.06982178510322,248.08062723571828,331.57672328874406,687.1423557437399,687.1423557437399,418.41325293016934,159.1973832520124,73.1202581036188,120.91685612171003,120.91685612171003,236.5482497880896,236.5482497880896,248.08062723571828,146.58718076807114,65.63999363335537
535.7396001508081,535.7396001508081,535.7396001508081,184.41638592223717,184.41638592223717,179.33209894408756,179.33209894408756,367.4655805122572,416.81757578750654,628.783125852399,628.783125852399,535.7396001508081,165.4610334088475,92.15077657193673,219.6509379591594,219.6509379591594,258.5418697865165,258.5418697865165,367.4655805122572,456.048304548389,79.11696255849995
505.33927084760955,505.33927084760955,505.33927084760955,165.25667604290462,165.25667604290462,165.69150659182486,165.69150659182486,267.5047882624541,396.6795562572702,681.3945679811528,681.3945679811528,505.33927084760955,170.218707218397,73.63079490988642,139.50892637742635,139.50892637742635,270.34045116422976,270.34045116422976,267.5047882624541,177.0419125007404,69.55232338355243
479.52672148085486,479.52672148085486,479.52672148085486,166.41265180037507,166.41265180037507,146.1322198949244,146.1322198949244,251.44828089086826,382.91405881074996,678.6614133781362,678.6614133781362,479.52672148085486,171.37379549317492,72.11228760546803,128.94665205016742,128.94665205016742,261.3551572153771,261.3551572153771,251.44828089086826,181.71348672614175,64.85431660770209
626.329897862368,626.329897862368,626.329897862368,207.95483477145544,207.95483477145544,198.35062747547946,198.35062747547946,364.0179473019193,500.04680379694946,791.8512741452329,791.8512741452329,626.329897862368,174.86742415828317,105.79898168826264,179.2080064625981,179.2080064625981,270.37114394162603,270.37114394162603,364.0179473019193,237.2611600717723,78.61215667561349
