C 1 @ 279.408,C 1 @ 279.482,C 2 @ 280.146,C 3 @ 285.075,C 3 @ 285.149,K 1 @ 460.714,K 1 @ 460.716,K 2 @ 553.656,K 3 @ 280.146,N 1 @ 589.024,N 1 @ 589.116,N 2 @ 279.482,N 3 @ 334.762,N 4 @ 421.624,N 5 @ 443.506,N 5 @ 443.613,P 1 @ 334.762,P 1 @ 334.83,P 2 @ 553.656,P 3 @ 317.881,P 4 @ 407.871
586.8049170913321,586.8049170913321,586.8049170913321,192.43878065270468,192.43878065270468,157.79208536548305,157.79208536548305,329.6745473704586,495.0628340524448,706.2711719868612,706.2711719868612,586.8049170913321,179.8235768620748,60.92528387739541,165.46406414436723,165.46406414436723,287.2022745590017,287.2022745590017,329.6745473704586,355.95451090533487,59.10682262705799
618.6824212132396,618.6824212132396,618.6824212132396,214.2545154881114,214.2545154881114,144.55676328029156,144.55676328029156,281.03484384456897,522.1388714487368,638.641366458587,638.641366458587,618.6824212132396,161.5164360876848,66.44992396178017,126.93340471615451,126.93340471615451,267.63466041941325,267.63466041941325,281.03484384456897,224.8014174730327,53.738648797655514
707.324314290035,707.324314290035,707.324314290035,233.2492963590698,233.2492963590698,157.12776022127971,157.12776022127971,275.90420109568964,604.3037069469291,659.5866071933743,659.5866071933743,707.324314290035,178.0940240709368,68.68725696268577,130.0337131996605,130.0337131996605,280.1609207031389,280.1609207031389,275.90420109568964,212.21802822224763,63.39422663768645
712.3313445786009,712.3313445786009,712.3313445786009,239.42213246105044,239.42213246105044,161.58277870161783,161.58277870161783,312.4007288212955,608.2248057932645,720.5246505472585,720.5246505472585,712.3313445786009,169.72059825434738,75.17812853104222,148.0486662240014,148.0486662240014,281.43358038553623,281.43358038553623,312.4007288212955,278.74395649459177,61.33143432650697
804.9297283231522,804.9297283231522,804.9297283231522,249.86383941575596,249.86383941575596,185.2291284829955,185.2291284829955,343.78707355916845,675.3376548405299,811.5292559352607,811.5292559352607,804.9297283231522,187.80756438413263,76.35773731670807,155.54313128293697,155.54313128293697,322.1492655108238,322.1492655108238,343.78707355916845,293.3325872387445,73.14361941494639
626.9957281240903,626.9957281240903,626.9957281240903,205.98587608994848,205.98587608994848,160.1226443307658,160.1226443307658,313.4801630132926,524.6322354090188,666.1762710825972,666.1762710825972,626.9957281240903,172.2769022036841,67.58456109926227,151.56110772131433,151.56110772131433,274.47617840420605,274.47617840420605,313.4801630132926,280.05812539170506,61.00726594249507
648.4281000546284,648.4281000546284,648.4281000546284,213.5808533532516,213.5808533532516,151.53004110579008,151.53004110579008,284.17335699585146,563.017506750764,655.6249396874348,655.6249396874348,648.4281000546284,181.00737888798503,67.52222348738277,128.6787495259132,128.6787495259132,279.5385010197258,279.5385010197258,284.17335699585146,235.3030771600118,55.02984298628961
663.7373085747511,663.7373085747511,663.7373085747511,210.73381653214113,210.73381653214113,151.69806081982443,151.69806081982443,281.4138082922309,555.749111098543,589.3825538632765,589.3825538632765,663.7373085747511,176.40220087705438,61.37554244966344,127.31138845100054,127.31138845100054,273.0194091897956,273.0194091897956,281.4138082922309,252.72977154814535,57.51820150719455
588.5689663480059,588.5689663480059,588.5689663480059,203.86230367207236,203.86230367207236,154.5772360659026,154.5772360659026,281.29478707620933,494.5238890646568,656.8903114329581,656.8903114329581,588.5689663480059,160.84963355740493,65.17030639382133,123.39274606242523,123.39274606242523,259.7287776824731,259.7287776824731,281.29478707620933,206.9637306423875,58.130968246733985
636.560719363822,636.560719363822,636.560719363822,221.08025410679429,221.08025410679429,152.49738832838068,152.49738832838068,273.9057305488317,541.9103314311907,686.6777237245506,686.6777237245506,636.560719363822,162.65861397296905,66.48476183944915,128.58419052130736,128.58419052130736,259.87483131670245,259.87483131670245,273.9057305488317,209.52990949499903,59.66987915220833
560.2013545966984,560.2013545966984,560.2013545966984,195.5092346046903,195.5092346046903,149.55976469604587,149.55976469604587,292.35918466948675,466.4449104044121,877.9926167282961,877.9926167282961,560.2013545966984,227.19825717536176,64.04359820607091,117.49796695100653,117.49796695100653,374.3015107568756,374.3015107568756,292.35918466948675,173.139242632534,58.7816172522914
597.0414915741725,597.0414915741725,597.0414915741725,204.30206324056888,204.30206324056888,169.29523107670752,169.29523107670752,317.4070744772404,504.6744114555316,938.4108980003523,938.4108980003523,597.0414915741725,205.95672672259712,65.4519780392395,124.36069204436482,124.36069204436482,335.11260120057,335.11260120057,317.4070744772404,185.48178328033458,66.58878531353655
503.2988961654827,503.2988961654827,503.2988961654827,171.48843133985065,171.48843133985065,133.4916275919734,133.4916275919734,234.18705789082782,410.8043852405258,631.2841158649637,631.2841158649637,503.2988961654827,170.03957530637095,60.31369796981139,109.51604489571125,109.51604489571125,276.7883865298985,276.7883865298985,233.51190927777776,156.60287868991583,54.19240251962425
710.7429171448955,710.7429171448955,710.7429171448955,226.89685487814626,226.89685487814626,145.92116408576337,145.92116408576337,275.88451405456465,596.685115252891,707.1762884183561,707.1762884183561,710.7429171448955,179.32502699437066,65.9992509968238,136.42768096321691,136.42768096321691,275.72973236190717,275.72973236190717,275.88451405456465,250.48440962838862,56.465041897100015
630.7141637267116,630.7141637267116,630.7141637267116,229.68929190994302,229.68929190994302,144.99158124178584,144.99158124178584,270.60992713260157,538.1620206004752,766.3977475605952,766.3977475605952,630.7141637267116,158.78167460969482,64.2912787254407,128.05006589036682,128.05006589036682,253.33799937374445,253.33799937374445,270.60992713260157,233.23609791351905,48.06979622778506
674.8904420206605,674.8904420206605,674.8904420206605,227.49854394874637,227.49854394874637,155.73985892636608,155.73985892636608,312.35523832403516,576.0471967427804,749.2575706270317,749.2575706270317,674.8904420206605,184.9243979810905,65.02734573283135,142.20774808866034,142.20774808866034,301.1421961172944,301.1421961172944,312.35523832403516,246.8092014136432,60.30025032815897
1344.6205470197444,1344.6205470197444,1344.6205470197444,378.7763154035993,378.7763154035993,124.93403522372257,124.93403522372257,210.96205672323768,1073.4233695112869,487.59975466324477,487.59975466324477,1344.6205470197444,251.18645578236269,58.479810872272004,118.62181190984715,118.62181190984715,413.7313200396964,413.7313200396964,210.96205672323768,387.13491255230196,54.31698237645157
850.0766189851681,850.0766189851681,850.0766189851681,270.7647730787231,270.7647730787231,194.05113807178003,194.05113807178003,385.5696887582804,703.6676887026267,827.1615473929357,827.1615473929357,850.0766189851681,196.28298868408035,90.15415790889891,181.65072665694666,181.65072665694666,330.807361221061,330.807361221061,385.5696887582804,332.4664678770295,73.82621918865276
708.2425105966129,708.2425105966129,708.2425105966129,232.0586165840585,232.0586165840585,150.59535969676205,150.59535969676205,293.7372480571673,591.4769131021391,684.7356674791442,684.7356674791442,708.2425105966129,172.28549676166583,66.3947898909576,135.22779161273058,135.22779161273058,267.8560534116008,267.8560534116008,293.7372480571673,259.58590985170474,61.852290926793216
715.7071498334092,715.7071498334092,715.7071498334092,228.5784424126764,228.5784424126764,183.88047900151162,183.88047900151162,405.00121550210855,575.4724700776566,778.5934443416166,778.5934443416166,715.7071498334092,191.34722566283656,75.95989971380097,194.5946565422671,194.5946565422671,299.2013457879132,299.2013457879132,405.00121550210855,427.65012673183605,68.02283213263732
499.3326142792868,499.3326142792868,499.3326142792868,176.63755452637923,176.63755452637923,148.81376993946907,148.81376993946907,304.69027539579463,432.54755465676845,587.7261302856575,587.7261302856575,499.3326142792868,168.98690725939454,63.01621605095198,167.76138565466744,167.76138565466744,253.58892646548193,253.58892646548193,304.69027539579463,347.594591675827,58.47596218910739
576.6266796157306,576.6266796157306,576.6266796157306,199.2715590901858,199.2715590901858,155.5774389370424,155.5774389370424,343.23788417447906,487.59362847043286,720.2012405036539,720.2012405036539,576.6266796157306,180.4542175075822,71.85868658125473,157.59824171263202,157.59824171263202,286.38175672828584,286.38175672828584,343.23788417447906,388.1151243867595,64.14256642472512
709.6932591133652,709.6932591133652,709.6932591133652,220.05936382626456,220.05936382626456,167.79644402409153,167.79644402409153,323.5158217762948,606.2196886591698,750.8820193794782,750.8820193794782,709.6932591133652,177.87102170634572,65.31114655653147,142.7379316093029,142.7379316093029,291.4666142277914,291.4666142277914,323.5158217762948,277.79293131957616,58.26932950763053
765.5623236852597,765.5623236852597,765.5623236852597,259.9920134237716,259.9920134237716,167.15028628998914,167.15028628998914,350.0354964278018,646.2145898571738,877.1996108430512,877.1996108430512,765.5623236852597,193.2748172466083,71.01625802610334,162.07517300141902,162.07517300141902,319.68375795156976,319.68375795156976,350.0354964278018,323.3177775152916,64.58402516841777
821.8003789198054,821.8003789198054,821.8003789198054,264.566531885944,264.566531885944,168.12507861200643,168.12507861200643,340.22256094442236,693.4043081799048,946.6406579741971,946.6406579741971,821.8003789198054,195.7774558902298,84.75377084342016,163.33248402309567,163.33248402309567,332.1133052543599,332.1133052543599,340.22256094442236,302.3441869040996,68.02565607197116
577.1243728895041,577.1243728895041,577.1243728895041,201.69530262697765,201.69530262697765,171.62959038909585,171.62959038909585,387.31027251136214,477.68657380753,744.7056257211138,744.7056257211138,577.1243728895041,169.64425225779038,64.354868564261,178.00795887322593,178.00795887322593,267.21460825090406,267.21460825090406,387.31027251136214,394.58701166313966,65.48661491828727
623.4941190063097,623.4941190063097,623.4941190063097,210.81490976993848,210.81490976993848,174.1399415373866,174.1399415373866,295.73828332809467,523.4908784527312,613.7943047503503,613.7943047503503,623.4941190063097,171.52327678824054,79.19285523304269,153.4688856299638,153.4688856299638,264.26744766481426,264.26744766481426,295.73828332809467,236.84786309447918,0.0
601.3656052922366,601.3656052922366,601.3656052922366,214.61690614028885,214.61690614028885,166.38868513891222,166.38868513891222,263.792106809886,495.5032432363182,645.4052657851024,645.4052657851024,601.3656052922366,172.04781089018672,82.34480953323087,144.01279572662455,144.01279572662455,265.4833998329459,265.4833998329459,263.792106809886,196.34911899451984,86.13024137333223
608.3069430704858,608.3069430704858,608.3069430704858,205.78720077266468,205.78720077266468,177.31897870775492,177.31897870775492,292.2646078797956,499.9474691732779,680.6403199877938,680.6403199877938,608.3069430704858,177.2487424591056,88.73405542777519,161.085447666,161.085447666,271.16875230583224,271.16875230583224,292.2646078797956,192.55057643670565,76.9379081901726
695.5992230599472,695.5992230599472,695.5992230599472,240.9847124404449,240.9847124404449,204.00324937569908,204.00324937569908,362.2270243700073,570.3316953678202,819.9359318593112,819.9359318593112,695.5992230599472,188.23588064344656,101.52294753164679,193.42031546792924,193.42031546792924,302.4589857797316,302.4589857797316,362.2270243700073,272.23584690347707,102.2030918147673
584.1764447504845,584.1764447504845,584.1764447504845,206.20135849697851,206.20135849697851,183.03307341009733,183.03307341009733,351.0151910978802,482.73299484235383,695.9517372329409,695.9517372329409,584.1764447504845,184.22717648732987,92.38768629997324,194.85962007326543,194.85962007326543,304.7596210802874,304.7596210802874,351.0151910978802,347.49681555765,85.3052726482233
624.8089853931559,624.8089853931559,624.8089853931559,228.50967314428578,228.50967314428578,185.49687644133397,185.49687644133397,293.7922193682732,527.749314997167,618.5479179858677,618.5479179858677,624.8089853931559,171.11680222121814,93.06176376790968,172.90322913406317,172.90322913406317,267.133079009999,267.133079009999,293.7922193682732,231.26834331512427,97.21165267403586
611.4432181734342,611.4432181734342,611.4432181734342,194.84861338164765,194.84861338164765,187.60560105962682,187.60560105962682,271.55534491853484,505.8304821951585,585.7914117367394,585.7914117367394,611.4432181734342,165.64160691494712,103.21279105818502,173.25627504862754,173.25627504862754,244.754646462878,244.754646462878,271.55534491853484,219.1548102191741,98.13074175090101
667.4071458050847,667.4071458050847,667.4071458050847,223.16392217977736,223.16392217977736,193.52525269477596,193.52525269477596,303.26559667073894,527.2344965623989,680.3612376446803,680.3612376446803,667.4071458050847,180.59262606419668,102.46153745431388,177.57791508055126,177.57791508055126,275.930938949938,275.930938949938,303.26559667073894,248.69372655558627,101.14939881326312
