C 1 @ 279.408,C 1 @ 279.482,C 2 @ 280.146,C 3 @ 285.075,C 3 @ 285.149,K 1 @ 460.714,K 1 @ 460.716,K 2 @ 553.656,K 3 @ 280.146,N 1 @ 589.024,N 1 @ 589.116,N 2 @ 279.482,N 3 @ 334.762,N 4 @ 421.624,N 5 @ 443.506,N 5 @ 443.613,P 1 @ 334.762,P 1 @ 334.83,P 2 @ 553.656,P 3 @ 317.881,P 4 @ 407.871
549.3064755604581,549.3064755604581,549.3064755604581,199.48676944888038,199.48676944888038,148.88012102247893,148.88012102247893,284.8736478357461,449.37536281316744,581.2529355742786,581.2529355742786,549.3064755604581,153.9979240290276,68.14638710766035,150.1971021134511,150.1971021134511,227.23994830176557,227.23994830176557,284.8736478357461,294.1536725488908,60.585670796443445
456.0649547156171,456.0649547156171,456.0649547156171,177.13774210977536,177.13774210977536,128.18887876763478,128.18887876763478,252.2523114208525,382.2682514870994,513.1112847790049,513.1112847790049,456.0649547156171,143.23104576332054,64.09103835753284,122.99516457426553,122.99516457426553,191.40352189385945,191.40352189385945,252.2523114208525,250.1556271682256,58.41405862440564
531.0574914068685,531.0574914068685,531.0574914068685,180.43628770168957,180.43628770168957,151.47145176043588,151.47145176043588,275.675061580009,432.5234523178158,547.778282555712,547.778282555712,531.0574914068685,155.28168118396454,70.55581895466374,138.47902185414586,138.47902185414586,224.90406011295264,224.90406011295264,275.675061580009,263.7010426860996,64.12474965961708
596.2838855764704,596.2838855764704,596.2838855764704,205.23836034920203,205.23836034920203,146.56379751692333,146.56379751692333,281.62827595985453,481.43319000180287,604.3648572467197,604.3648572467197,596.2838855764704,170.77369302521274,70.54167295320508,139.40826219455533,139.40826219455533,255.93629849509634,255.93629849509634,281.62827595985453,280.4198187146773,61.47062038716387
564.9821596225456,564.9821596225456,564.9821596225456,195.92461275831317,195.92461275831317,159.56132079398702,159.56132079398702,335.6506173474464,471.8021754428987,562.4151888251679,562.4151888251679,564.9821596225456,161.3948798281429,70.41825217935153,176.46534463891558,176.46534463891558,231.09273137568175,231.09273137568175,335.6506173474464,426.39005152710877,70.64089301022753
559.0909851987518,559.0909851987518,559.0909851987518,191.88527511399766,191.88527511399766,138.26579106361672,138.26579106361672,272.7490276757357,442.90182283407313,537.1441848208859,537.1441848208859,559.0909851987518,157.91581433993522,65.48043955519664,122.11934639616746,122.11934639616746,232.6631485149474,232.6631485149474,272.7490276757357,277.15674700809456,61.74558027477872
675.5577064282727,675.5577064282727,675.5577064282727,219.16645064016285,219.16645064016285,174.7058562413179,174.7058562413179,336.579747522767,539.1033392171302,780.5348146527856,780.5348146527856,675.5577064282727,169.73954025632094,89.28154959710822,163.1968456312004,163.1968456312004,241.30767232532872,241.30767232532872,336.579747522767,302.988021777446,73.39950035373934
651.1709180778836,651.1709180778836,651.1709180778836,227.43795661362714,227.43795661362714,176.0449428540442,176.0449428540442,346.09864420659903,535.4095207404224,682.9943143674993,682.9943143674993,651.1709180778836,169.7883238307286,87.32064043303005,187.02055257855255,187.02055257855255,239.07712113566288,239.07712113566288,346.09864420659903,310.74532052625193,77.40433810467701
603.397025609056,603.397025609056,603.397025609056,219.23812536764171,219.23812536764171,169.10794928189452,169.10794928189452,332.62456982448634,517.246537644087,583.4294305187973,583.4294305187973,603.397025609056,165.81484829907137,77.90659574792387,179.44629713562833,179.44629713562833,240.09987733021362,240.09987733021362,332.62456982448634,355.51828418251597,76.01437359433092
609.4277757656849,609.4277757656849,609.4277757656849,210.94870663789425,210.94870663789425,178.21772227329043,178.21772227329043,406.45574544739407,509.26619086073396,726.6561677999267,726.6561677999267,609.4277757656849,164.93675607850852,0.0,209.53550339872734,209.53550339872734,246.1189794226597,246.1189794226597,406.45574544739407,413.1808276355896,75.71992556905452
617.7818294739735,617.7818294739735,617.7818294739735,209.6032042284974,209.6032042284974,168.48074874933647,168.48074874933647,298.1334545060368,513.1191859723752,686.6283671747334,686.6283671747334,617.7818294739735,172.20427884119684,70.66835203299632,146.86247120412136,146.86247120412136,242.7009916149938,242.7009916149938,298.1334545060368,279.4451438942172,71.79753732904074
725.9939826972457,725.9939826972457,725.9939826972457,252.21297139147714,252.21297139147714,184.95327049840813,184.95327049840813,367.2326640542241,601.7422646488915,704.4643677310025,704.4643677310025,725.9939826972457,171.75094528555206,90.06927555952801,191.4969134919339,191.4969134919339,263.8020724049317,263.8020724049317,367.2326640542241,389.3057225938677,86.21928421297591
808.8054473762664,808.8054473762664,808.8054473762664,262.4027101700399,262.4027101700399,197.23555004037715,197.23555004037715,401.15865613987137,656.4147021660161,1122.2190007665508,1122.2190007665508,808.8054473762664,200.74730787512107,101.28430046141246,193.63726332070576,193.63726332070576,317.4684330373226,317.4684330373226,401.15865613987137,388.7297017348081,74.31432923273705
698.7026027566119,698.7026027566119,698.7026027566119,236.21423248,236.21423248,180.61830840241365,180.61830840241365,326.2324213233939,584.0517821565116,631.789285325563,631.789285325563,698.7026027566119,165.37749368287035,88.96079750715413,168.36917310043955,168.36917310043955,259.2338167007611,259.2338167007611,326.2324213233939,324.5767792713875,80.60643258510686
675.6690897999968,675.6690897999968,675.6690897999968,236.86522538784578,236.86522538784578,159.941183298872,159.941183298872,337.8387891206381,546.4748918716762,777.7553230046349,777.7553230046349,675.6690897999968,168.8181059535696,65.34715484269114,172.5644247343553,172.5644247343553,255.07508455438483,255.07508455438483,337.8387891206381,352.3843873096898,64.44102995052586
666.9777604231639,666.9777604231639,666.9777604231639,227.38907617056827,227.38907617056827,152.26559255898874,152.26559255898874,304.01160323577136,534.9364186516884,799.5207037217027,799.5207037217027,666.9777604231639,184.12774255194998,74.01635894554464,158.64591548886332,158.64591548886332,290.33795842825674,290.33795842825674,304.01160323577136,317.7872893894814,73.25158860295281
700.8308953847513,700.8308953847513,700.8308953847513,233.3349352010424,233.3349352010424,162.3313472756211,162.3313472756211,306.22485577849676,579.2946241014828,730.2206821963669,730.2206821963669,700.8308953847513,178.52516120292907,75.63112318469724,160.27307822352694,160.27307822352694,274.0341635911107,274.0341635911107,306.22485577849676,295.2547227628866,67.68933952794893
448.9505406772904,448.9505406772904,448.9505406772904,174.17594980061693,174.17594980061693,117.97398745772912,117.97398745772912,218.09233567201414,383.6517814403519,508.4658440440542,508.4658440440542,448.9505406772904,152.88103391343662,58.816578742874846,115.25912018755778,115.25912018755778,213.05588288884533,213.05588288884533,218.09233567201414,218.434380119424,53.58501992142332
588.652100495064,588.652100495064,588.652100495064,210.76847962830652,210.76847962830652,141.77846583927015,141.77846583927015,275.78604084742835,493.0079577327999,641.1194699429989,641.1194699429989,588.652100495064,164.23952981665778,73.122353506494,142.33720656631158,142.33720656631158,242.661499315995,242.661499315995,275.78604084742835,260.2514080669991,57.22815513460845
739.9343584132237,739.9343584132237,739.9343584132237,254.49079495587603,254.49079495587603,184.5783481193857,184.5783481193857,347.93896799962147,608.8024670032594,1060.924561379698,1060.924561379698,739.9343584132237,191.18919903584145,83.5691435942389,180.75228003783874,180.75228003783874,300.6526192414323,300.6526192414323,347.93896799962147,342.6921438298364,81.52613877319074
710.8909953493587,710.8909953493587,710.8909953493587,229.47294468652197,229.47294468652197,176.61227375090408,176.61227375090408,336.8907293411798,580.0025062785783,950.8271354040733,950.8271354040733,710.8909953493587,187.32826068049096,83.36805340955517,169.284420942164,169.284420942164,284.57342034919935,284.57342034919935,336.8907293411798,317.43652822590707,70.3357781267918
634.4877869754364,634.4877869754364,634.4877869754364,218.84006480733254,218.84006480733254,179.0905946754217,179.0905946754217,395.4821224173238,527.8528819421597,603.3195984439083,603.3195984439083,634.4877869754364,163.1518952931495,87.4060193760264,195.00620641741128,195.00620641741128,239.97085600440093,239.97085600440093,395.4821224173238,428.6000229452233,70.88500770065839
594.2376954209825,594.2376954209825,594.2376954209825,193.38541263944657,193.38541263944657,154.15577267907926,154.15577267907926,288.05964305363227,478.0046276709674,467.83942874326993,467.83942874326993,594.2376954209825,162.3685387232659,67.40770843576797,144.94773985458707,144.94773985458707,226.82580437556456,226.82580437556456,288.05964305363227,267.00047154932236,62.49542946413865
622.4542768838904,622.4542768838904,622.4542768838904,215.63453486585092,215.63453486585092,165.21768570051003,165.21768570051003,293.9894175531427,515.8847399009027,853.6384971410225,853.6384971410225,622.4542768838904,167.8974915284941,77.01163472773742,147.35625611025307,147.35625611025307,250.12022573602647,250.12022573602647,293.9894175531427,259.086176859324,58.849969737480905
767.0627412899278,767.0627412899278,767.0627412899278,258.47520886367124,258.47520886367124,186.91399548924053,186.91399548924053,347.4100081871449,638.9642122798045,848.6109742960406,848.6109742960406,767.0627412899278,174.18309135802656,82.70578433662574,177.91783828986382,177.91783828986382,267.0135031099626,267.0135031099626,347.4100081871449,359.4165594442749,82.13919112875038
