,samsun\1,samsun\10,samsun\11,samsun\12,samsun\13,samsun\14,samsun\15,samsun\16,samsun\17,samsun\18,samsun\19,samsun\2,samsun\20,samsun\21,samsun\22,samsun\23,samsun\24,samsun\25,samsun\26,samsun\27,samsun\28,samsun\29,samsun\3,samsun\30,samsun\31,samsun\32,samsun\33,samsun\34,samsun\35,samsun\36,samsun\37,samsun\38,samsun\39,samsun\4,samsun\40,samsun\41,samsun\42,samsun\43,samsun\44,samsun\45,samsun\46,samsun\47,samsun\48,samsun\49,samsun\5,samsun\50,samsun\6,samsun\7,samsun\8,samsun\9
247.76552,-1.3603017168399814,-13.784170900594086,-9.122400031027409,-8.509866297346628,-12.985437231241173,-13.62330516791791,-10.012501296161016,-7.209009790843847,-9.139933500006997,-14.655427438827124,-4.137789012528721,-5.807863720506079,-13.956139081898002,-8.462738760367008,-7.130928660317565,-8.884831693163289,-9.538833335257687,-12.63098169504308,-5.433823846377859,-10.781874662135777,-6.130012302949413,-3.1053680013753655,-11.962725617905262,-12.98514382955103,-9.19497402948841,-11.188446384031224,-6.0750446970371454,-7.5763841464251,-11.080851416669034,-0.8627792362075454,-7.3464444166444896,-6.059340699878646,-12.563296463964843,-14.955622607036997,-10.977678149142013,-7.365459494933248,-4.722375426536379,-7.051877020719143,-0.9569173957648877,-9.014965396409856,-5.166109465929023,-9.814268202156322,-7.7484533800823465,-5.929890733761889,-12.588259662844704,-11.64618633867436,-10.958803507450657,-12.149803493394254,-8.903915143492787,-13.698214748644498
247.8419916626033,-22.413895259923912,-15.504337897190233,-14.282620338469071,-16.7664313327955,-15.049284540085239,-15.274440904086594,-18.858266642372268,-9.444777044841343,-20.49202581332614,-14.036021459790447,-13.219799576317518,-10.55536057056835,-12.14985819516046,-21.8792844748657,-15.180548117337537,-17.760258695728147,-7.818974843889914,-8.502841519891973,-17.1300631647953,-15.082285775134201,-13.870305248980243,-13.426452992771988,-15.058905970002257,-15.46216982386024,-20.289232885251042,-8.264118828208948,-17.685768088868343,-12.736842793041205,-20.57500414996077,-13.041660153243322,-14.157532550979743,-11.047674211099107,-18.34225579082272,-18.258020015219625,-11.23567344679862,-18.717832735307333,-11.94679316756738,-9.288663947097385,-10.658534364438466,-15.207338990979764,-12.906747799418508,-21.16645553980296,-6.716053811585836,-13.360738881043815,-12.244019099357265,-18.61153098085033,-15.49980962730304,-9.054056020022923,-18.81151074898954,-17.61986699262503
247.9184570784132,-20.968735756284385,-20.836493201400348,-18.504525840415347,-24.815551203171573,-24.750079112914015,-15.687416256230431,-16.20482795337778,-15.121240102931722,-16.880387032477888,-16.925903922668187,-20.6502935614591,-22.52673475891233,-14.471868849919382,-22.0856324894359,-25.7064990696716,-23.952689979015254,-19.171226814321635,-19.855314604616236,-24.182522812458174,-21.790011952476096,-23.502036751236474,-21.062571319529326,-17.638776584966006,-21.86056411819476,-23.127081795132383,-20.476236671796944,-17.42737993829418,-26.840154239822144,-23.670930504744224,-20.059293500550787,-20.350013552773124,-20.50797035462468,-15.040048836838642,-18.670717900074393,-15.621675519707921,-22.43277654110006,-14.01103680711308,-22.532466691637655,-16.850825621962578,-19.334872755130036,-19.61480032036181,-14.974193278820703,-20.47655921940457,-17.901509130718647,-19.12411328925975,-26.093294862778734,-27.05754060952715,-23.760176473079206,-20.255848653655296,-19.684151270087728
247.9949162474297,-19.318109264402878,-30.639633598827032,-19.724026131829707,-20.68793758601268,-19.177520962443282,-26.626202581746405,-27.851013018374527,-23.721178455617146,-23.5883066595479,-22.9111950953414,-23.746056981720685,-20.875535704198466,-26.85573536023316,-17.75141747867491,-24.05558834968017,-24.98454388042513,-21.750754815210602,-19.080844091553924,-22.46234304138554,-26.605981300793776,-20.234206492304384,-24.365057440244687,-27.442155140865946,-18.557847629471667,-24.15879897103909,-22.54039287313937,-22.329143245126104,-14.284775183430602,-24.290324493992838,-17.99529157247725,-23.033341996281006,-23.087952993064523,-25.153254162041442,-21.97268578125938,-19.491615082466964,-26.14762329556354,-31.898299722768048,-23.04833997087,-19.74042689908516,-24.666776848817445,-26.70919559325769,-16.83207269752453,-25.63644367060593,-26.36350790300022,-22.048106326939834,-26.09397548676609,-21.89789008380043,-22.212319983504305,-29.543465535484085,-26.08224124752519
248.07136916965283,-17.666818609111033,-27.54308800480413,-28.823857153969048,-19.449303426103427,-26.194772378139987,-19.196149248504046,-24.607881752583435,-25.09723291077292,-25.1357466629657,-19.81527802106786,-29.93777506218201,-30.782031110265336,-22.212454953706224,-28.070719888919534,-20.13430505012055,-21.68222636287569,-26.222897437241315,-22.17731366105516,-23.322423058820945,-25.402121381990295,-20.750054315314745,-26.63533723153709,-23.4866510920088,-22.685881739130203,-30.092379112573987,-27.87214492661424,-27.747117156806524,-26.668266322634295,-22.019343754157752,-27.902094000220302,-24.27131582689015,-24.46395771397142,-20.19997196917413,-33.94333306192095,-25.16745923503967,-18.30479718034105,-23.81479030164793,-22.187815704184818,-23.66147196646067,-20.88318828585626,-22.839540925647327,-27.770624848415235,-27.872389374788444,-27.39536517014559,-26.691844547728945,-28.157668711858882,-26.02590293692915,-23.244064483380466,-28.305480484357624,-20.5094412034103
248.1478158450825,-19.937092826074537,-27.200109397591664,-21.03745580908046,-19.44946655255244,-27.845762380895177,-30.134822231563714,-26.671778750479657,-26.64504271827364,-26.85600751193141,-17.544581137735534,-25.39700541219819,-27.2735701505973,-24.53436966359162,-26.419658554007434,-20.959977748997257,-28.699251915622494,-24.330776124930114,-28.110771423460697,-24.18232077469379,-21.61786476464873,-24.706184764464027,-22.71420677133181,-20.218738271191175,-24.750035656074303,-25.448921082922453,-23.400491289961337,-18.717579902114462,-25.292663956606333,-20.98804644585833,-19.64642566879607,-33.35230263203509,-22.571964848557496,-30.313014602125662,-24.65623314045243,-23.361465773338814,-20.575041796848105,-21.407144381047065,-23.04877334029658,-22.836212653256716,-23.46331073387178,-24.516567713377345,-20.13432719583746,-26.15255437335756,-29.25285566993916,-30.64746133585678,-23.771717143632905,-22.104497339222085,-32.78891594356274,-26.241749193863257,-18.445431289823695
248.2242562737188,-25.096887337006685,-25.480095354607965,-25.821886798058486,-28.32431013647743,-22.27322177241148,-29.309023605357783,-23.575984611719356,-25.097174458659172,-25.651961304189626,-25.800490292380367,-23.126947592812787,-20.669001464199862,-23.76031287420215,-27.864217520848655,-23.436517377852454,-30.350491945030438,-17.794974595903295,-20.113317837049685,-26.246332100796185,-28.15366280055908,-18.51440378453727,-29.318498475728422,-30.881838871947625,-30.941564590164887,-28.028576116392713,-22.88463017778092,-35.74444535575278,-22.02476782417781,-21.606861052535795,-21.29748906880821,-28.81189052168137,-24.635828438074522,-31.96339971803714,-26.719924267677733,-26.45732386521435,-29.862680154170153,-28.8026470819419,-24.252412071674655,-23.042582373065933,-28.966158513945473,-21.678784220459764,-20.959768877056796,-25.464433261494648,-22.02934826871769,-16.888295596284852,-28.4156198807491,-22.723571931721082,-20.406558034801076,-26.24168669568845,-21.128835418766364
248.30069045556166,-28.1928351047286,-18.77247835443538,-24.227243005703805,-20.481341427714735,-23.305308793706963,-26.41966344289272,-29.914984939336247,-22.51714211559451,-22.212378914051843,-25.59405556075362,-25.397082351082982,-27.685972147383257,-18.600453753679368,-23.943253765503822,-31.072877415152014,-24.77801921216202,-25.534770728010148,-23.7250398334316,-24.870493103249455,-22.64953173040387,-29.521762225729926,-22.301529359142215,-24.518464663292914,-17.526226563475557,-20.289228833020626,-25.980362129101675,-25.94120923918883,-27.35650459656279,-28.211673602802488,-21.091149017241815,-19.524453481281235,-23.94798262797788,-27.010802539125656,-28.16484363588118,-23.10347980220181,-17.066454207678326,-17.451107919787926,-18.061087257668607,-24.27975782372847,-25.18312731037928,-23.742318337802615,-26.945162908937682,-26.8402921138712,-28.840154840602214,-11.900207032862577,-23.513774782076393,-22.104495277271294,-28.919838445948876,-23.145813867206023,-22.367177815368446
248.3771183906112,-26.541789775343613,-19.632525074053163,-20.38067521627124,-22.13234994937144,-22.273175137898406,-22.704802720148912,-28.145644955118843,-24.409140408192545,-19.718149165462492,-24.148942594804133,-15.490406741874704,-23.971326632314295,-19.374566938968165,-19.19629008582989,-25.294062300445393,-22.301355261810833,-20.54695273833289,-20.629220048822408,-18.67833869244428,-21.61825855747226,-26.426063880712984,-20.23755894312523,-21.59471546095916,-22.89227859157792,-21.32088598026288,-30.967936330100873,-18.975808543742033,-24.604671998729696,-11.287142342183893,-22.94865412619685,-20.969159887604224,-22.9159827033948,-24.12136168668974,-24.655921441818442,-24.1355243227811,-20.988034613342567,-21.406953607181237,-27.52037602057364,-18.914788839405404,-12.455053137260991,-22.065664633347232,-10.639713067064623,-22.368710013100806,-21.61653713323011,-16.028271546834002,-14.74211772908881,-15.912620184494568,-25.30819231448489,-20.875276371219737,-25.669309267807733
248.4535400788673,-21.794735015137128,-18.08443050237977,-20.474392519411442,-17.17923187676342,-18.9709893557122,-24.768843717493016,-18.121255328330935,-14.9493967362351,-18.772294002727218,-16.71914452901694,-18.998797154527928,-12.413156721198975,-14.214269915620275,-21.2600445729483,-18.483231470263753,-11.98153726398531,-23.643026220700207,-13.147257317442651,-20.742282667638918,-15.254299585205962,-12.494082687221443,-14.664847886284836,-16.778785344866915,-21.8606914120157,-20.546925506424376,-20.992362069162308,-22.32923400199601,-12.908224350207286,-17.272881404574058,-23.98082189339384,-12.094197869898624,-14.4877850493526,-17.516592791601642,-17.225654847420206,-9.945651819238698,-17.685802605967886,-23.98695278879993,-11.352837640631726,-16.23160330486437,-22.94694201103329,-21.42059319553253,-21.16607011956525,-14.800669377717218,-21.203632242568077,-27.035759934708807,-31.51140800702899,-19.83416873021745,-11.891985892709645,-20.669072966316115,-17.413746504753384
